,Cell,Cell_type
0,human1_lib1.final_cell_0001,acinar
1,human1_lib1.final_cell_0002,acinar
2,human1_lib1.final_cell_0003,acinar
3,human1_lib1.final_cell_0004,acinar
4,human1_lib1.final_cell_0005,acinar
5,human1_lib1.final_cell_0006,acinar
6,human1_lib1.final_cell_0007,beta
7,human1_lib1.final_cell_0008,acinar
8,human1_lib1.final_cell_0009,acinar
9,human1_lib1.final_cell_0010,acinar
10,human1_lib1.final_cell_0011,acinar
11,human1_lib1.final_cell_0012,acinar
12,human1_lib1.final_cell_0013,delta
13,human1_lib1.final_cell_0014,delta
14,human1_lib1.final_cell_0015,beta
15,human1_lib1.final_cell_0016,activated_stellate
16,human1_lib1.final_cell_0017,beta
17,human1_lib1.final_cell_0018,acinar
18,human1_lib1.final_cell_0019,ductal
19,human1_lib1.final_cell_0020,beta
20,human1_lib1.final_cell_0021,beta
21,human1_lib1.final_cell_0022,alpha
22,human1_lib1.final_cell_0023,ductal
23,human1_lib1.final_cell_0024,beta
24,human1_lib1.final_cell_0025,delta
25,human1_lib1.final_cell_0026,alpha
26,human1_lib1.final_cell_0027,beta
27,human1_lib1.final_cell_0028,acinar
28,human1_lib1.final_cell_0029,acinar
29,human1_lib1.final_cell_0030,beta
30,human1_lib1.final_cell_0031,delta
31,human1_lib1.final_cell_0032,delta
32,human1_lib1.final_cell_0033,delta
33,human1_lib1.final_cell_0034,delta
34,human1_lib1.final_cell_0035,beta
35,human1_lib1.final_cell_0036,acinar
36,human1_lib1.final_cell_0037,beta
37,human1_lib1.final_cell_0038,beta
38,human1_lib1.final_cell_0039,beta
39,human1_lib1.final_cell_0040,delta
40,human1_lib1.final_cell_0041,activated_stellate
41,human1_lib1.final_cell_0042,beta
42,human1_lib1.final_cell_0043,delta
43,human1_lib1.final_cell_0044,activated_stellate
44,human1_lib1.final_cell_0045,activated_stellate
45,human1_lib1.final_cell_0046,activated_stellate
46,human1_lib1.final_cell_0047,acinar
47,human1_lib1.final_cell_0048,activated_stellate
48,human1_lib1.final_cell_0049,delta
49,human1_lib1.final_cell_0050,beta
50,human1_lib1.final_cell_0051,delta
51,human1_lib1.final_cell_0052,beta
52,human1_lib1.final_cell_0053,acinar
53,human1_lib1.final_cell_0054,beta
54,human1_lib1.final_cell_0055,beta
55,human1_lib1.final_cell_0056,activated_stellate
56,human1_lib1.final_cell_0057,beta
57,human1_lib1.final_cell_0058,beta
58,human1_lib1.final_cell_0059,beta
59,human1_lib1.final_cell_0060,beta
60,human1_lib1.final_cell_0061,ductal
61,human1_lib1.final_cell_0062,alpha
62,human1_lib1.final_cell_0063,beta
63,human1_lib1.final_cell_0064,ductal
64,human1_lib1.final_cell_0065,ductal
65,human1_lib1.final_cell_0066,acinar
66,human1_lib1.final_cell_0067,alpha
67,human1_lib1.final_cell_0068,beta
68,human1_lib1.final_cell_0069,delta
69,human1_lib1.final_cell_0070,alpha
70,human1_lib1.final_cell_0071,beta
71,human1_lib1.final_cell_0072,beta
72,human1_lib1.final_cell_0073,beta
73,human1_lib1.final_cell_0074,delta
74,human1_lib1.final_cell_0075,beta
75,human1_lib1.final_cell_0076,beta
76,human1_lib1.final_cell_0077,delta
77,human1_lib1.final_cell_0078,beta
78,human1_lib1.final_cell_0079,beta
79,human1_lib1.final_cell_0080,beta
80,human1_lib1.final_cell_0081,beta
81,human1_lib1.final_cell_0082,beta
82,human1_lib1.final_cell_0083,beta
83,human1_lib1.final_cell_0084,acinar
84,human1_lib1.final_cell_0085,activated_stellate
85,human1_lib1.final_cell_0086,delta
86,human1_lib1.final_cell_0087,delta
87,human1_lib1.final_cell_0088,beta
88,human1_lib1.final_cell_0089,beta
89,human1_lib1.final_cell_0090,beta
90,human1_lib1.final_cell_0091,beta
91,human1_lib1.final_cell_0092,beta
92,human1_lib1.final_cell_0093,beta
93,human1_lib1.final_cell_0094,beta
94,human1_lib1.final_cell_0095,beta
95,human1_lib1.final_cell_0096,beta
96,human1_lib1.final_cell_0097,beta
97,human1_lib1.final_cell_0098,delta
98,human1_lib1.final_cell_0099,delta
99,human1_lib1.final_cell_0100,beta
100,human1_lib1.final_cell_0101,delta
101,human1_lib1.final_cell_0102,alpha
102,human1_lib1.final_cell_0103,alpha
103,human1_lib1.final_cell_0104,delta
104,human1_lib1.final_cell_0105,beta
105,human1_lib1.final_cell_0106,beta
106,human1_lib1.final_cell_0107,beta
107,human1_lib1.final_cell_0108,beta
108,human1_lib1.final_cell_0109,acinar
109,human1_lib1.final_cell_0110,delta
110,human1_lib1.final_cell_0111,beta
111,human1_lib1.final_cell_0112,beta
112,human1_lib1.final_cell_0113,delta
113,human1_lib1.final_cell_0114,beta
114,human1_lib1.final_cell_0115,beta
115,human1_lib1.final_cell_0116,beta
116,human1_lib1.final_cell_0117,delta
117,human1_lib1.final_cell_0118,beta
118,human1_lib1.final_cell_0119,delta
119,human1_lib1.final_cell_0120,beta
120,human1_lib1.final_cell_0121,beta
121,human1_lib1.final_cell_0122,beta
122,human1_lib1.final_cell_0123,epsilon
123,human1_lib1.final_cell_0124,beta
124,human1_lib1.final_cell_0125,beta
125,human1_lib1.final_cell_0126,beta
126,human1_lib1.final_cell_0127,delta
127,human1_lib1.final_cell_0128,beta
128,human1_lib1.final_cell_0129,delta
129,human1_lib1.final_cell_0130,beta
130,human1_lib1.final_cell_0131,alpha
131,human1_lib1.final_cell_0132,alpha
132,human1_lib1.final_cell_0133,beta
133,human1_lib1.final_cell_0134,acinar
134,human1_lib1.final_cell_0135,alpha
135,human1_lib1.final_cell_0136,beta
136,human1_lib1.final_cell_0137,beta
137,human1_lib1.final_cell_0138,alpha
138,human1_lib1.final_cell_0139,beta
139,human1_lib1.final_cell_0140,delta
140,human1_lib1.final_cell_0141,beta
141,human1_lib1.final_cell_0142,beta
142,human1_lib1.final_cell_0143,beta
143,human1_lib1.final_cell_0144,beta
144,human1_lib1.final_cell_0145,beta
145,human1_lib1.final_cell_0146,delta
146,human1_lib1.final_cell_0147,beta
147,human1_lib1.final_cell_0148,ductal
148,human1_lib1.final_cell_0149,ductal
149,human1_lib1.final_cell_0150,beta
150,human1_lib1.final_cell_0151,beta
151,human1_lib1.final_cell_0152,beta
152,human1_lib1.final_cell_0153,beta
153,human1_lib1.final_cell_0154,delta
154,human1_lib1.final_cell_0155,beta
155,human1_lib1.final_cell_0156,activated_stellate
156,human1_lib1.final_cell_0157,beta
157,human1_lib1.final_cell_0158,beta
158,human1_lib1.final_cell_0159,alpha
159,human1_lib1.final_cell_0160,beta
160,human1_lib1.final_cell_0161,alpha
161,human1_lib1.final_cell_0162,beta
162,human1_lib1.final_cell_0163,gamma
163,human1_lib1.final_cell_0164,beta
164,human1_lib1.final_cell_0165,beta
165,human1_lib1.final_cell_0166,beta
166,human1_lib1.final_cell_0167,beta
167,human1_lib1.final_cell_0168,beta
168,human1_lib1.final_cell_0169,beta
169,human1_lib1.final_cell_0170,beta
170,human1_lib1.final_cell_0171,acinar
171,human1_lib1.final_cell_0172,beta
172,human1_lib1.final_cell_0173,acinar
173,human1_lib1.final_cell_0174,beta
174,human1_lib1.final_cell_0175,beta
175,human1_lib1.final_cell_0176,beta
176,human1_lib1.final_cell_0177,acinar
177,human1_lib1.final_cell_0178,delta
178,human1_lib1.final_cell_0179,beta
179,human1_lib1.final_cell_0180,delta
180,human1_lib1.final_cell_0181,beta
181,human1_lib1.final_cell_0182,acinar
182,human1_lib1.final_cell_0183,alpha
183,human1_lib1.final_cell_0184,beta
184,human1_lib1.final_cell_0185,alpha
185,human1_lib1.final_cell_0186,beta
186,human1_lib1.final_cell_0187,alpha
187,human1_lib1.final_cell_0188,endothelial
188,human1_lib1.final_cell_0189,beta
189,human1_lib1.final_cell_0190,beta
190,human1_lib1.final_cell_0191,alpha
191,human1_lib1.final_cell_0192,delta
192,human1_lib1.final_cell_0193,beta
193,human1_lib1.final_cell_0194,beta
194,human1_lib1.final_cell_0195,delta
195,human1_lib1.final_cell_0196,beta
196,human1_lib1.final_cell_0197,gamma
197,human1_lib1.final_cell_0198,alpha
198,human1_lib1.final_cell_0199,beta
199,human1_lib1.final_cell_0200,beta
200,human1_lib1.final_cell_0201,delta
201,human1_lib1.final_cell_0202,alpha
202,human1_lib1.final_cell_0203,ductal
203,human1_lib1.final_cell_0204,beta
204,human1_lib1.final_cell_0205,alpha
205,human1_lib1.final_cell_0206,beta
206,human1_lib1.final_cell_0207,ductal
207,human1_lib1.final_cell_0208,alpha
208,human1_lib1.final_cell_0209,ductal
209,human1_lib1.final_cell_0210,beta
210,human1_lib1.final_cell_0211,beta
211,human1_lib1.final_cell_0212,alpha
212,human1_lib1.final_cell_0213,beta
213,human1_lib1.final_cell_0214,beta
214,human1_lib1.final_cell_0215,quiescent_stellate
215,human1_lib1.final_cell_0216,ductal
216,human1_lib1.final_cell_0217,ductal
217,human1_lib1.final_cell_0218,endothelial
218,human1_lib1.final_cell_0219,activated_stellate
219,human1_lib1.final_cell_0220,beta
220,human1_lib1.final_cell_0221,delta
221,human1_lib1.final_cell_0222,gamma
222,human1_lib1.final_cell_0223,beta
223,human1_lib1.final_cell_0224,beta
224,human1_lib1.final_cell_0225,beta
225,human1_lib1.final_cell_0226,alpha
226,human1_lib1.final_cell_0227,beta
227,human1_lib1.final_cell_0228,beta
228,human1_lib1.final_cell_0229,delta
229,human1_lib1.final_cell_0230,ductal
230,human1_lib1.final_cell_0231,beta
231,human1_lib1.final_cell_0232,delta
232,human1_lib1.final_cell_0233,delta
233,human1_lib1.final_cell_0234,beta
234,human1_lib1.final_cell_0235,delta
235,human1_lib1.final_cell_0236,beta
236,human1_lib1.final_cell_0237,activated_stellate
237,human1_lib1.final_cell_0238,beta
238,human1_lib1.final_cell_0239,beta
239,human1_lib1.final_cell_0240,delta
240,human1_lib1.final_cell_0241,beta
241,human1_lib1.final_cell_0242,quiescent_stellate
242,human1_lib1.final_cell_0243,beta
243,human1_lib1.final_cell_0244,acinar
244,human1_lib1.final_cell_0245,alpha
245,human1_lib1.final_cell_0246,delta
246,human1_lib1.final_cell_0247,beta
247,human1_lib1.final_cell_0248,alpha
248,human1_lib1.final_cell_0249,beta
249,human1_lib1.final_cell_0250,endothelial
250,human1_lib1.final_cell_0251,delta
251,human1_lib1.final_cell_0252,delta
252,human1_lib1.final_cell_0253,beta
253,human1_lib1.final_cell_0254,beta
254,human1_lib1.final_cell_0255,delta
255,human1_lib1.final_cell_0256,gamma
256,human1_lib1.final_cell_0257,alpha
257,human1_lib1.final_cell_0258,beta
258,human1_lib1.final_cell_0259,beta
259,human1_lib1.final_cell_0260,beta
260,human1_lib1.final_cell_0261,ductal
261,human1_lib1.final_cell_0262,delta
262,human1_lib1.final_cell_0263,alpha
263,human1_lib1.final_cell_0264,beta
264,human1_lib1.final_cell_0265,gamma
265,human1_lib1.final_cell_0266,beta
266,human1_lib1.final_cell_0267,beta
267,human1_lib1.final_cell_0268,beta
268,human1_lib1.final_cell_0269,quiescent_stellate
269,human1_lib1.final_cell_0270,alpha
270,human1_lib1.final_cell_0271,delta
271,human1_lib1.final_cell_0272,alpha
272,human1_lib1.final_cell_0273,endothelial
273,human1_lib1.final_cell_0274,alpha
274,human1_lib1.final_cell_0275,delta
275,human1_lib1.final_cell_0276,beta
276,human1_lib1.final_cell_0277,gamma
277,human1_lib1.final_cell_0278,ductal
278,human1_lib1.final_cell_0279,alpha
279,human1_lib1.final_cell_0280,alpha
280,human1_lib1.final_cell_0281,delta
281,human1_lib1.final_cell_0282,beta
282,human1_lib1.final_cell_0283,beta
283,human1_lib1.final_cell_0284,ductal
284,human1_lib1.final_cell_0285,alpha
285,human1_lib1.final_cell_0286,beta
286,human1_lib1.final_cell_0287,delta
287,human1_lib1.final_cell_0288,macrophage
288,human1_lib1.final_cell_0289,endothelial
289,human1_lib1.final_cell_0290,beta
290,human1_lib1.final_cell_0291,beta
291,human1_lib1.final_cell_0292,beta
292,human1_lib1.final_cell_0293,beta
293,human1_lib1.final_cell_0294,beta
294,human1_lib1.final_cell_0295,beta
295,human1_lib1.final_cell_0296,beta
296,human1_lib1.final_cell_0297,beta
297,human1_lib1.final_cell_0298,beta
298,human1_lib1.final_cell_0299,beta
299,human1_lib1.final_cell_0300,beta
300,human1_lib1.final_cell_0301,gamma
301,human1_lib1.final_cell_0302,endothelial
302,human1_lib1.final_cell_0303,beta
303,human1_lib1.final_cell_0304,beta
304,human1_lib1.final_cell_0305,beta
305,human1_lib1.final_cell_0306,delta
306,human1_lib1.final_cell_0307,beta
307,human1_lib1.final_cell_0308,gamma
308,human1_lib1.final_cell_0309,epsilon
309,human1_lib1.final_cell_0310,delta
310,human1_lib1.final_cell_0311,beta
311,human1_lib1.final_cell_0312,beta
312,human1_lib1.final_cell_0313,gamma
313,human1_lib1.final_cell_0314,beta
314,human1_lib1.final_cell_0315,beta
315,human1_lib1.final_cell_0316,beta
316,human1_lib1.final_cell_0317,beta
317,human1_lib1.final_cell_0318,beta
318,human1_lib1.final_cell_0319,endothelial
319,human1_lib1.final_cell_0320,beta
320,human1_lib1.final_cell_0321,delta
321,human1_lib1.final_cell_0322,alpha
322,human1_lib1.final_cell_0323,epsilon
323,human1_lib1.final_cell_0324,alpha
