,Cell,Cell_type
0,F1S4_160108_001_A01,Vip Arhgap36 Hmcn1
1,F1S4_160108_001_B01,Lamp5 Lsp1
2,F1S4_160108_001_C01,Lamp5 Lsp1
3,F1S4_160108_001_D01,Vip Crispld2 Htr2c
4,F1S4_160108_001_E01,Lamp5 Plch2 Dock5
5,F1S4_160108_001_F01,Sst Tac1 Tacr3
6,F1S4_160108_001_G01,Sncg Vip Itih5
7,F1S4_160108_001_H01,Lamp5 Krt73
8,F1S4_160108_002_A01,Vip Igfbp6 Car10
9,F1S4_160108_002_B01,Lamp5 Plch2 Dock5
10,F1S4_160108_002_C01,Vip Lect1 Oxtr
11,F1S4_160108_002_D01,Vip Crispld2 Kcne4
12,F1S4_160108_002_E01,Vip Igfbp6 Pltp
13,F1S4_160108_002_F01,Vip Crispld2 Htr2c
14,F1S4_160108_002_G01,Vip Lect1 Oxtr
15,F1S4_160108_002_H01,Vip Crispld2 Kcne4
16,F1S4_160108_003_A01,Lamp5 Plch2 Dock5
17,F1S4_160108_003_B01,Lamp5 Lsp1
18,F1S4_160108_003_C01,Lamp5 Lsp1
19,F1S4_160108_003_D01,Lamp5 Plch2 Dock5
20,F1S4_160108_003_E01,Sncg Vip Itih5
21,F1S4_160108_003_F01,Vip Chat Htr1f
22,F1S4_160108_003_G01,Serpinf1 Aqp5 Vip
23,F1S4_160108_003_H01,Vip Pygm C1ql1
24,F1S4_160108_004_A01,Lamp5 Krt73
25,F1S4_160108_004_B01,Lamp5 Lsp1
26,F1S4_160108_004_D01,Vip Pygm C1ql1
27,F1S4_160108_004_E01,Vip Ptprt Pkp2
28,F1S4_160108_004_F01,Vip Ptprt Pkp2
29,F1S4_160108_004_G01,Vip Crispld2 Kcne4
30,F1S4_160108_004_H01,Pvalb Tpbg
31,F1S4_160108_005_A01,Lamp5 Plch2 Dock5
32,F1S4_160108_005_B01,Lamp5 Plch2 Dock5
33,F1S4_160108_005_C01,Lamp5 Fam19a1 Tmem182
34,F1S4_160108_005_D01,Lamp5 Fam19a1 Tmem182
35,F1S4_160108_005_E01,Lamp5 Plch2 Dock5
36,F1S4_160108_005_F01,Lamp5 Plch2 Dock5
37,F1S4_160108_005_G01,Lamp5 Krt73
38,F1S4_160108_005_H01,Lamp5 Ntn1 Npy2r
39,F1S4_160108_006_A01,Lamp5 Fam19a1 Tmem182
40,F1S4_160108_006_B01,Lamp5 Krt73
41,F1S4_160108_006_C01,Lamp5 Fam19a1 Pax6
42,F1S4_160108_006_D01,Vip Lect1 Oxtr
43,F1S4_160108_006_E01,Vip Igfbp6 Car10
44,F1S4_160108_006_F01,Lamp5 Plch2 Dock5
45,F1S4_160108_006_G01,Lamp5 Ntn1 Npy2r
46,F1S4_160108_006_H01,Vip Igfbp6 Pltp
47,F1S4_160108_007_A01,Lamp5 Lsp1
48,F1S4_160108_007_B01,Lamp5 Lsp1
49,F1S4_160108_007_C01,Vip Ptprt Pkp2
50,F1S4_160108_007_D01,Vip Igfbp6 Pltp
51,F1S4_160108_007_E01,Sst Tac1 Tacr3
52,F1S4_160108_007_F01,Pvalb Reln Tac1
53,F1S4_160108_007_G01,Sst Chrna2 Ptgdr
54,F1S4_160108_008_A01,Sst Hpse Cbln4
55,F1S4_160108_008_B01,Sst Hpse Cbln4
56,F1S4_160108_008_C01,Lamp5 Lsp1
57,F1S4_160108_008_D01,Sst Chrna2 Glra3
58,F1S4_160108_008_E01,Pvalb Reln Tac1
59,F1S4_160108_008_F01,Sst Hpse Sema3c
60,F1S4_160108_008_G01,Pvalb Reln Tac1
61,F1S4_160108_008_H01,Sst Chrna2 Ptgdr
62,F1S4_160108_009_A01,Pvalb Reln Tac1
63,F1S4_160108_009_B01,Pvalb Reln Tac1
64,F1S4_160108_009_C01,Pvalb Reln Tac1
65,F1S4_160108_009_E01,Vip Igfbp4 Mab21l1
66,F1S4_160108_009_F01,Sst Hpse Sema3c
67,F1S4_160108_009_G01,Sst Chrna2 Glra3
68,F1S4_160108_009_H01,Sst Hpse Sema3c
69,F1S4_160108_010_A01,Lamp5 Lsp1
70,F1S4_160108_010_B01,Pvalb Reln Tac1
71,F1S4_160108_010_C01,Lamp5 Lsp1
72,F1S4_160108_010_D01,Pvalb Vipr2
73,F1S4_160108_010_E01,Vip Pygm C1ql1
74,F1S4_160108_010_F01,Sst Hpse Sema3c
75,F1S4_160108_010_G01,Vip Igfbp4 Mab21l1
76,F1S4_160108_010_H01,Vip Pygm C1ql1
77,F1S4_160108_011_A01,Sst Mme Fam114a1
